Cód,Materia,Primer llamado,Hora
61.05,Economía de la Salud,"jueves, 11 de febrero de 2027",11:00
61.09,Economía Empresaria,"miércoles, 10 de febrero de 2027",18:00
61.12,Gestión Financiera (español),"lunes, 15 de febrero de 2027",8:00
61.12,Gestión Financiera (inglés),"lunes, 15 de febrero de 2027",8:00
61.14,Economía Internacional Real,"miércoles, 17 de febrero de 2027",17:00
61.15,Economía Internacional Monetaria,"miércoles, 17 de febrero de 2027",11:00
61.16,Introducción a las Finanzas,"miércoles, 17 de febrero de 2027",16:00
61.20,Presupuesto y Control,"miércoles, 10 de febrero de 2027",18:00
61.23,Economía para Ingenieros,"lunes, 22 de febrero de 2027",13:00
61.27,Análisis de Coyuntura Económica,"miércoles, 17 de febrero de 2027",19:00
61.28,Economía,"miércoles, 17 de febrero de 2027",16:00
61.30,Econometría Aplicada,"jueves, 4 de febrero de 2027",16:00
61.31,Derecho para Ingenieros,"jueves, 11 de febrero de 2027",16:00
61.32,Derecho para Ingenieros,"jueves, 11 de febrero de 2027",16:00
61.50,Finanzas de la Empresa,"miércoles, 10 de febrero de 2027",15:00
61.81,Microeconomía,"miércoles, 10 de febrero de 2027",10:00
61.82,Macroeconomía,"jueves, 11 de febrero de 2027",13:00
61.87,Derecho Público y Privado I,"jueves, 11 de febrero de 2027",16:00
67.01,Tecnología de materiales,"jueves, 11 de febrero de 2027",13:00
67.02,Estática,"jueves, 11 de febrero de 2027",11:00
67.03,Resistencia de Materiales,"viernes, 12 de febrero de 2027",8:00
67.04,Instrucción a la temática social,"miércoles, 10 de febrero de 2027",15:00
67.05,Tecnología del Hormigón,"martes, 16 de febrero de 2027",8:00
67.06,Construcciones,"martes, 23 de febrero de 2027",14:00
67.07,Geotopografía,"viernes, 12 de febrero de 2027",13:00
67.08,Análisis Estructural,"miércoles, 17 de febrero de 2027",13:00
67.09,Instalaciones,"lunes, 15 de febrero de 2027",8:00
67.10,Hormigón I,"miércoles, 10 de febrero de 2027",16:00
67.11,Evaluación de Impacto Ambiental y Social,"lunes, 15 de febrero de 2027",15:00
67.12,Geotecnia,"viernes, 12 de febrero de 2027",13:00
67.13,Hidrología y obras hidráulicas,"jueves, 11 de febrero de 2027",18:00
71.20,Informática General,"viernes, 5 de febrero de 2027",8:00
71.22,Sistemas de Inteligencia Artificial,"lunes, 22 de febrero de 2027",14:00
